year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,3,0,60,14,49,0,0,297
2008-1,2008,1,0,3,0,60,16,51,0,0,297
2009-1,2009,1,0,3,0,40,10,46,5,5,297
2010-1,2010,1,0,3,0,40,18,45,3,3,297
2011-1,2011,1,0,3,0,40,8,50,10,10,297
2012-2,2012,0,1,3,0,40,4,55,4,4,280
2013-2,2013,0,1,3,0,60,10,55,11,15,280
2015-2,2015,0,1,3,0,60,17,55,10,5,386
2016-2,2016,0,1,3,0,40,13,55,19,15,301
