year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-2,2007,0,1,2,1,60,60,49,0,0,280
2008-2,2008,0,1,2,1,60,65,51,0,0,280
2009-2,2009,0,1,2,1,60,57,46,0,0,280
2010-2,2010,0,1,2,1,60,69,45,0,0,280
2011-2,2011,0,1,2,1,60,38,50,0,0,280
2012-2,2012,0,1,2,1,60,73,55,4,4,280
2013-2,2013,0,1,2,1,60,80,55,11,15,280
2014-2,2014,0,1,2,1,160,112,55,20,23,299
2015-2,2015,0,1,2,1,150,130,55,10,5,386
2016-2,2016,0,1,2,1,150,106,55,19,15,301
