year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,4,0,60,15,49,0,0,297
2008-1,2008,1,0,4,0,60,6,51,0,0,297
2009-1,2009,1,0,4,0,40,8,46,5,5,297
2010-1,2010,1,0,4,0,40,8,45,3,3,297
2010-2,2010,0,1,4,0,40,8,45,0,0,280
2012-2,2012,0,1,4,0,40,7,55,4,4,280
2013-2,2013,0,1,4,0,40,12,55,11,15,280
2014-2,2014,0,1,4,0,30,13,55,20,23,299
2016-2,2016,0,1,4,0,40,16,55,19,15,301
