year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-2,2007,0,1,4,0,60,12,49,0,0,280
2008-2,2008,0,1,4,0,30,7,51,0,0,280
2009-2,2009,0,1,4,0,30,7,46,0,0,280
2010-2,2010,0,1,4,0,40,20,45,0,0,280
2012-1,2012,1,0,4,0,40,5,55,5,6,297
