year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-2,2007,0,1,4,0,60,25,49,0,0,280
2009-2,2009,0,1,4,0,40,13,46,0,0,280
2010-2,2010,0,1,4,0,40,9,45,0,0,280
2011-2,2011,0,1,4,0,40,10,50,0,0,280
2012-2,2012,0,1,4,0,40,12,55,4,4,280
