year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-2,2007,0,1,4,0,60,5,49,0,0,280
2008-2,2008,0,1,4,0,60,4,51,0,0,280
2010-2,2010,0,1,4,0,40,10,45,0,0,280
2011-2,2011,0,1,4,0,40,5,50,0,0,280
2012-2,2012,0,1,4,0,30,11,55,4,4,280
