year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2008-1,2008,1,0,3,0,60,44,51,0,0,297
2009-1,2009,1,0,3,0,40,43,46,5,5,297
2009-2,2009,0,1,3,0,40,49,46,0,0,280
2010-1,2010,1,0,3,0,50,51,45,3,3,297
2010-2,2010,0,1,3,0,50,60,45,0,0,280
2012-2,2012,0,1,3,0,60,18,55,4,4,280
